522  ,  -2.00  ,  -9.77  ,  -0.16  ,  -162.76
523  ,  -1.00  ,  -4.88  ,  -0.08  ,  -81.38
523  ,  -1.00  ,  -4.88  ,  -0.08  ,  -81.38
520  ,  -4.00  ,  -19.53  ,  -0.33  ,  -325.52
534  ,  10.00  ,  48.83  ,  0.81  ,  813.80
523  ,  -1.00  ,  -4.88  ,  -0.08  ,  -81.38
523  ,  -1.00  ,  -4.88  ,  -0.08  ,  -81.38
525  ,  1.00  ,  4.88  ,  0.08  ,  81.38
514  ,  -10.00  ,  -48.83  ,  -0.81  ,  -813.80
523  ,  -1.00  ,  -4.88  ,  -0.08  ,  -81.38
522  ,  -2.00  ,  -9.77  ,  -0.16  ,  -162.76
525  ,  1.00  ,  4.88  ,  0.08  ,  81.38
527  ,  3.00  ,  14.65  ,  0.24  ,  244.14
522  ,  -2.00  ,  -9.77  ,  -0.16  ,  -162.76
525  ,  1.00  ,  4.88  ,  0.08  ,  81.38
521  ,  -3.00  ,  -14.65  ,  -0.24  ,  -244.14
521  ,  -3.00  ,  -14.65  ,  -0.24  ,  -244.14
532  ,  8.00  ,  39.06  ,  0.65  ,  651.04
522  ,  -2.00  ,  -9.77  ,  -0.16  ,  -162.76
525  ,  1.00  ,  4.88  ,  0.08  ,  81.38
525  ,  1.00  ,  4.88  ,  0.08  ,  81.38
525  ,  1.00  ,  4.88  ,  0.08  ,  81.38
525  ,  1.00  ,  4.88  ,  0.08  ,  81.38
520  ,  -4.00  ,  -19.53  ,  -0.33  ,  -325.52
534  ,  10.00  ,  48.83  ,  0.81  ,  813.80
523  ,  -1.00  ,  -4.88  ,  -0.08  ,  -81.38
525  ,  1.00  ,  4.88  ,  0.08  ,  81.38
526  ,  2.00  ,  9.77  ,  0.16  ,  162.76
517  ,  -7.00  ,  -34.18  ,  -0.57  ,  -569.66
525  ,  1.00  ,  4.88  ,  0.08  ,  81.38
522  ,  -2.00  ,  -9.77  ,  -0.16  ,  -162.76
521  ,  -3.00  ,  -14.65  ,  -0.24  ,  -244.14
527  ,  3.00  ,  14.65  ,  0.24  ,  244.14
523  ,  -1.00  ,  -4.88  ,  -0.08  ,  -81.38
525  ,  1.00  ,  4.88  ,  0.08  ,  81.38
522  ,  -2.00  ,  -9.77  ,  -0.16  ,  -162.76
523  ,  -1.00  ,  -4.88  ,  -0.08  ,  -81.38
522  ,  -2.00  ,  -9.77  ,  -0.16  ,  -162.76
523  ,  -1.00  ,  -4.88  ,  -0.08  ,  -81.38
532  ,  8.00  ,  39.06  ,  0.65  ,  651.04
525  ,  1.00  ,  4.88  ,  0.08  ,  81.38
529  ,  5.00  ,  24.41  ,  0.41  ,  406.90
523  ,  -1.00  ,  -4.88  ,  -0.08  ,  -81.38
521  ,  -3.00  ,  -14.65  ,  -0.24  ,  -244.14
532  ,  8.00  ,  39.06  ,  0.65  ,  651.04
525  ,  1.00  ,  4.88  ,  0.08  ,  81.38
525  ,  1.00  ,  4.88  ,  0.08  ,  81.38
526  ,  2.00  ,  9.77  ,  0.16  ,  162.76
